CNT,n(),CNTRYID,CNTSCHID,CNTSTUID,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1FLIT,PV2FLIT,PV3FLIT,PV4FLIT,PV5FLIT,PV6FLIT,PV7FLIT,PV8FLIT,PV9FLIT,PV10FLIT,MALE,IMMI1GEN,IMMI2GEN,ESCS,FCFMLRTY,FLCONFIN,PERFEED,TEACHINT,FLSCHOOL,DISCRIM,BELONG,BEINGBULLIED,FLFAMILY,CURSUPP,PASCHPOL,W_FSTUWT_SCH_SUM,PRIVATESCH,STRATIO,EDUSHORT,STAFFSHORT
BGR,4110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,126,486,1109,425,392,864,1150,791,1262,888,4110,4110,0,4110,338,123,125
BRA,8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,428,182,1032,2795,755,627,1715,2996,1872,3356,1969,1429,1559,1,1,988,505,559
CAN,7762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,536,536,367,836,1183,7762,7762,1003,7762,602,1096,1065,7762,7762,0,0,7762,121,139
CHL,4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185,118,433,1054,217,182,569,1325,669,1523,658,384,376,3,3,819,424,402
ESP,9361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,266,161,423,1967,279,216,662,2301,866,2669,783,9361,9361,0,0,1043,479,523
EST,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,105,185,316,137,121,233,372,191,441,261,4167,4167,1,1,1,1,1
FIN,4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,69,191,446,126,126,278,4328,276,465,301,4328,4328,0,4328,86,324,324
GEO,4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,228,70,388,1138,410,384,747,4321,627,935,896,165,210,1,1,60,79,85
IDN,7133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,185,50,248,399,203,143,337,245,176,364,388,7133,7133,1,1,1637,983,1000
ITA,9182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,335,230,614,1601,404,381,930,2132,920,2455,1086,1425,1543,0,0,870,296,258
LTU,4076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,103,124,171,480,116,104,208,703,309,826,266,4076,4076,1,1,1,13,13
LVA,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,66,164,296,93,85,203,431,200,475,216,3151,3151,0,3151,203,107,122
NLD,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,69,89,148,79,74,109,3042,133,245,118,3042,3042,0,3042,324,141,141
PER,4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,35,112,530,217,192,178,2671,1464,3078,259,4734,4734,2,2,117,22,22
POL,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,51,117,315,77,61,208,377,132,493,220,4295,4295,1,1,1,1,1
PRT,4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,259,231,369,511,265,257,440,672,354,792,461,444,459,0,0,523,48,43
RUS,9125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,238,168,709,1156,421,357,975,1142,726,1335,1020,9125,9125,1,9125,251,248,248
SRB,3874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,52,383,977,321,269,688,971,596,1057,738,3874,3874,0,3874,308,23,23
SVK,3411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,43,134,400,126,89,241,482,197,582,270,3411,3411,0,0,215,195,246
USA,3738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,61,110,211,73,52,140,3738,143,216,167,3738,3738,0,0,580,359,359
